Rk,Country,State,# of Pros,# Active,# of HOF,G,TDs,Most Touchdowns,TDs,Most Games Played,Games,Most Touchdowns-additional,Most Games Played-additional
158,New Zealand,,5,0,0,371,0,,,David Dixon,152,DixoDa20,
159,Norway,,6,0,1,376,0,,,Jan Stenerud,263,stenejan01,
160,Okinawa,,1,0,0,50,0,,,Rick Berns,50,BernRi00,
161,Panama Canal Zone,,2,0,0,123,1,Leo Barker,1,Leo Barker,122,BarkLe20,BarkLe20
162,Paraguay,,1,0,0,90,0,,,Benny Ricardo,90,ricarben01,
163,Philippines,,7,0,0,293,14,Tim Tebow,12,Eugene Amano,124,TeboTi00,AmanEu20
164,Poland,,7,0,0,470,1,Chester Marcol,1,Sebastian Janikowski,284,marcoche01,janikseb01
165,Romania,,4,0,0,145,0,,,George Gross,70,GrosGe20,
166,Russia,,5,0,0,26,0,,,Morris Glassman,15,GlasMo20,
167,Saint Kitts and Nevis,,1,0,0,28,0,,,Erasmus James,28,JameEr20,
168,Saudi Arabia,,1,0,0,14,0,,,Jordan Kent,14,KentJo20,
169,Sierra Leone,,4,0,0,245,2,Madieu Williams,2,Madieu Williams,119,WillMa20,WillMa20
170,Spain,,4,0,0,64,3,JJ Arcega-Whiteside,2,JJ Arcega-Whiteside,40,ArceJJ00,ArceJJ00
171,Sweden,,9,0,0,105,17,Curly Oden,17,Curly Oden,67,OdenCu20,OdenCu20
172,Syria,,1,0,0,9,0,,,Heinie Jawish,9,JawiHe20,
173,Thailand,,1,0,0,57,0,,,Tony Brown,57,BrowTo24,
174,Trinidad and Tobago,,5,0,0,129,1,Curvin Richards,1,Anthony Herrera,80,RichCu00,HerrAn20
175,Uganda,,3,0,0,201,0,,,Mathias Kiwanuka,120,KiwaMa20,
176,Ukraine,,3,0,0,244,10,Buckets Goldenberg,10,Buckets Goldenberg,120,GoldBu20,GoldBu20
177,Venezuela,,2,0,0,4,0,,,Pat Ragusa,3,raguspat01,
178,Wales,,1,0,0,4,0,,,Allan Watson,4,WatsAl20,
179,Western Samoa,,6,0,0,356,0,,,Jesse Sapolu,182,SapoJe00,
180,Yugoslavia,,6,0,0,186,8,Frankie Sinkwich,8,Visco Grgich,78,SinkFr21,GrgiVi00
